cyt,Pearson_r
CD274,1.0
STAT1,0.7828078257516848
CCR5,0.7407815006256266
IFNG,0.7349308065705639
FASLG,0.7338098488726604
IRF1,0.7302813562153124
CXCR6,0.7290963328095563
KLRD1,0.724963708425838
CXCL9,0.7180777768159864
SH2D1A,0.7171429589606864
TIGIT,0.7142964565627116
CXCL10,0.713607034159257
GZMA,0.7102991160644984
CD8A,0.7077624970953853
TNFRSF9,0.706633245395386
IDO1,0.7029773348925435
CD2,0.7020971712727737
CCL4,0.7016212079011976
CCL5,0.6981820539294653
CXCL11,0.6975070064097975
PTPRC,0.6952688223036227
ICOS,0.6905551394515125
GZMK,0.68882562237706
CD8B,0.6884967789349319
GZMH,0.6858261194993929
HAVCR2,0.6854868820288528
TBX21,0.6848800774068381
CD86,0.6836125887807304
SLAMF6,0.6829962569587379
CD69,0.6825444897683582
PRF1,0.6819837098886709
TAGAP,0.6814895207391714
IL21R,0.681485939238841
IL10RA,0.6807560203903466
IL2RB,0.6762810368706648
CCR2,0.6728001091297384
GZMB,0.6712351208447557
ITGAL,0.6691716547821235
LAG3,0.6686042029622135
CD3D,0.6652064958868674
NKG7,0.664265251679278
CXCL13,0.6638364982437049
IKZF1,0.661468180246238
HLA-DRA,0.6605821681041046
PDCD1,0.6584927879904193
CD226,0.6511149568657992
CD38,0.6505714138903638
XCL2,0.6501469318582569
CIITA,0.6477143788319072
IL2RG,0.6469971230103799
CD3E,0.6457583150927056
SIGLEC10,0.6445491384582891
CTSW,0.6441134626918179
FCGR1A,0.6408849027491497
OASL,0.6398214341866968
GIMAP7,0.639658724768049
PRDM1,0.6372944238283069
IRF8,0.637257178041976
SPN,0.6361131826777071
AIF1,0.6353038929596072
LYZ,0.6345175216904414
CD48,0.6341232850283205
IL12RB1,0.6335822081502811
CXCR3,0.6334832769906827
RSAD2,0.6333050935812405
IL2RA,0.6311000551730269
CD7,0.6303992248038867
CD27,0.6303892276858546
XAF1,0.6286359671035417
IL32,0.626175687864627
SELPLG,0.6248431671557999
SLAMF7,0.6205135445038004
BTN3A1,0.6149515082013141
HLA-DQA1,0.6129798094478657
TRIM21,0.61281434063243
TNFRSF1B,0.6102882488669572
OAS2,0.6091615063641839
JAK2,0.608949096009415
HLA-DRB1,0.6076668258162762
PTGER2,0.6075065647162465
LY9,0.6056285832811281
CD163,0.6039498273408566
IL18,0.6025999622624835
JAML,0.6024246259811938
HLA-E,0.6005359504959213
XCL1,0.5932761896332882
IFI44L,0.5886793020710305
ZNF683,0.5852541013827021
CCR4,0.5834307287843759
CORO1A,0.582837370280264
LTA,0.5823776782931321
CMKLR1,0.5820569422676758
IFIT2,0.5772386525245321
CD52,0.5766224716263905
SELL,0.5754622819033056
IFIT3,0.5748615820128725
MIR155HG,0.5741928196564928
IL7R,0.5734991376128828
ITGB7,0.5711344669421775
CSF1R,0.5705015216767884
OAS1,0.5668144382336556
KLRB1,0.5654465121071497
STAT4,0.5647868703310123
ZBTB32,0.5605254677271452
SOCS1,0.5599482174667958
GATA3,0.5595178844778019
TOX,0.5568128671578984
GNLY,0.553976315829833
SPI1,0.5533453165236584
CLEC9A,0.553217158214131
CD4,0.5529918843968826
CCL3,0.5510702864152427
ITGAM,0.549147782062742
WARS1,0.547948800756819
NLRP3,0.5462052685693394
IL10,0.5421811068241803
IFI35,0.5291358303504231
TNF,0.528673456979852
OAS3,0.5285488209472095
CCR3,0.5263056830062813
CCR7,0.525137292153082
LTB,0.5197483013074198
NCR3,0.5157571402575549
CD40LG,0.5136315111977122
CD28,0.5057069469106197
FOXP3,0.5052762775607116
TOX2,0.5051191142950993
IL12B,0.5011072736673207
