cyt,Pearson_r
CD274,1.0
IL6R,0.6397671657980458
LIMS1,0.6073060016326975
PTPRC,0.5911068880259498
JAK2,0.5869655408246641
SH2B3,0.5740536942662936
STAT3,0.5659119406533699
STAT1,0.5592072782574288
CCR5,0.5479298770732555
HLA-E,0.5451140307707457
BHLHE40,0.5425241884380746
VDR,0.5373734805776076
CD109,0.534393173754411
NFKBIZ,0.5329522098071077
CIITA,0.5249878800017475
CXCL10,0.5099516388828657
MX2,0.5082302794526892
IL6ST,0.5070363996707649
STAT6,0.5062562762211479
CD226,0.5051844004092787
RUNX1,0.5050220120310241
IKZF1,0.5039879052347697
OAS2,0.5016800010380009
