cyt,Pearson_r
CD274,1.0
TNFRSF9,0.7182348178175078
PTPRC,0.7134664777828575
STAT1,0.7061721857507017
CD226,0.7058337100511465
CCR5,0.6929636027013614
ICOS,0.6626806617301427
CXCL10,0.6494102639522696
CXCR6,0.6487150607684472
IKZF1,0.6467815129795905
BTN3A1,0.6453203185537568
CXCL11,0.6427404921858193
JAK2,0.6420961366410888
CD38,0.6418525343375838
IL7R,0.6408778329579736
CCR4,0.6386379421472309
TIGIT,0.6381734300469827
IL2RA,0.637411954640205
FASLG,0.6349049820806678
IDO1,0.6333786539403987
SLAMF7,0.6314158144039593
TAGAP,0.6294246823882195
CXCL9,0.629032860944745
CIITA,0.6243578845584237
CD86,0.6227133740758034
SPN,0.6225711841881516
IL12RB1,0.6198650458774962
CCR2,0.6196877607386114
IRF1,0.613280516170261
IL10RA,0.6081750051523317
IFNG,0.6068333834115551
LYZ,0.6011993805152457
HLA-DRA,0.6002670474625216
SLAMF6,0.5984293894923656
SH2D1A,0.598168142749407
IRF4,0.5979672238247067
IL2RB,0.5978875551535606
PRF1,0.5952872639320267
IL21R,0.594430265167899
FOXP3,0.5938850138009816
EOMES,0.591793819929417
CD4,0.5917734400467086
CTLA4,0.591299063494488
IL2RG,0.589842660872576
GZMB,0.5880566180382597
CD2,0.5865063616184945
STAT4,0.5864026527864369
SIGLEC10,0.5860736057490104
WARS1,0.5835684526718812
P2RX7,0.581327861714559
KLRD1,0.5782048891123505
IRF8,0.5759862387325784
ITGA4,0.5744292089852869
LTA,0.5704281310880897
PRDM1,0.5689451320284421
TBX21,0.56597068220046
IFI16,0.5644294469106229
RSAD2,0.5612722642873683
IFIT3,0.5603774228822435
CD163,0.5602193828743098
IL6R,0.5592280489014958
IL18R1,0.5586216118322874
CD48,0.5571939260422621
IL10,0.5569936079040556
HAVCR2,0.5531240359077744
CD8A,0.5503445961717508
LY9,0.5498875903746148
CCL5,0.5473373320566856
HLA-E,0.5461916934388914
CD3E,0.5459262238076672
XAF1,0.5453672369944416
CD28,0.5387362072562679
IFIT2,0.5364913560259984
SELL,0.5363799983758181
CCL4,0.5352697855475533
TNFRSF1B,0.5341291968507942
CXCR3,0.5335079877595991
GZMA,0.5327842796202631
XCL1,0.531941321122765
MIR155HG,0.5315355772572377
CD40LG,0.5296705540301312
ZEB2,0.5293390865552781
OAS2,0.5264820366321373
CD69,0.5263569119857273
HLA-DQA1,0.5218157582110259
ITGAL,0.5196275539456208
NKG7,0.5192951126257421
XCL2,0.517421483180268
FAS,0.5110979174242976
CD68,0.5109776481992544
TOX,0.510346012687468
IFI44L,0.5094057987322885
OAS3,0.5093010871485524
GNLY,0.5072490544137686
CD3D,0.5066184475210049
ITGAX,0.5050202390530291
PDCD1,0.5045080969970552
LIMS1,0.504216623458317
CMKLR1,0.5011140274451873
ITGB7,0.5004136134466445
MX2,0.5002749072026802
