cyt,Pearson_r
CD274,1.0
JAK2,0.6919974317991312
TNFRSF9,0.6471149820231168
CXCL9,0.6360044491524119
STAT1,0.6262137012694237
CXCL11,0.6224563561829978
CXCL10,0.6212715364254949
TAGAP,0.6143978263568736
TIGIT,0.6117920304819376
OAS3,0.6103076826552404
PTPRC,0.6079122589063639
IRF1,0.6016587610606676
IL2RB,0.5997277432154744
CXCL13,0.5901743131178364
ICOS,0.586844842105361
IFNG,0.58168544957407
CCR5,0.5796680148012597
IL2RA,0.5719965286224535
IL12RB1,0.5684978422357658
CTLA4,0.5672475728827902
IL21R,0.5648378088192604
CD226,0.5640378198416354
OAS2,0.5613002620431412
WARS1,0.56058282531536
IFIT3,0.559830429864881
FASLG,0.5595421783806078
CD86,0.5560981665895043
FOXP3,0.5551176715223222
HAVCR2,0.554599162536314
CCL4,0.5533829281422842
PRF1,0.5479710290721118
IKZF1,0.545074861689532
SH2D1A,0.5422340871840574
SLAMF7,0.539922696335626
IDO1,0.539370886307299
CXCR6,0.5377102153274842
TBX21,0.5364175840141515
ITGAL,0.5350360036437052
CD3E,0.5335165071731925
SPN,0.5334489324617046
P2RX7,0.5320017363159733
CD8A,0.5281727491756208
SIGLEC10,0.5272851126721145
KLRD1,0.5258191643154945
HLA-E,0.5219493993349545
CD2,0.5177368540574013
GZMH,0.51586261765669
NKG7,0.5105532149459302
CD48,0.5053153890857811
CCL5,0.5051502428532394
SPI1,0.5048275055102915
RSAD2,0.5043108643906532
GZMB,0.5041409912131887
CD4,0.5032363658589416
PRDM1,0.500383772186317
