cyt,Pearson_r
CD274,1.0
STAT1,0.7658288043141094
IDO1,0.7143513168312564
CCL4,0.7036312949411779
HLA-DRA,0.7031173359773796
IFNG,0.7030190574526367
TNFRSF9,0.7012373272434752
TBX21,0.696654134893361
IL2RA,0.6944946174769072
CIITA,0.689878025565393
CXCL9,0.6871835250989902
PTPRC,0.6815269170001936
CD226,0.6786706821380841
CXCL10,0.677701087289449
IL2RB,0.6746300009764501
SH2D1A,0.6743140322671068
TIGIT,0.6675258482438144
ICOS,0.6672449533275323
IFIT3,0.6661704750755165
CD86,0.6644866093157891
IRF1,0.6623953879993697
JAK2,0.6612112898222273
HAVCR2,0.6600478091018388
WARS1,0.659802572968273
FASLG,0.6578403788890309
CCR5,0.6546370462073702
CD163,0.6410660345026263
LAG3,0.6395185104290048
GZMA,0.6390629058039423
SLAMF7,0.6366459548643338
IFIT2,0.6338357860870475
STAT4,0.6329205164202625
TAGAP,0.6326803345824308
CMKLR1,0.6252796500429333
KLRD1,0.621597891842814
CD69,0.6203799096895325
IKZF1,0.6203333898839951
GZMH,0.6194106187007763
AIF1,0.6185895062335326
HLA-DRB1,0.6185716832273351
CXCR6,0.6167115760286627
ITGAL,0.6151913043443711
IL21R,0.6125710197608408
NKG7,0.6104211182905094
CD8A,0.6093748613503687
SELL,0.6087108926300521
IL10RA,0.6081010222265516
HLA-DQA1,0.6076672717379781
CCL5,0.6052299004249524
CTLA4,0.6045318327925382
CD2,0.6030219799215768
BATF3,0.6026942531293333
GNLY,0.5979103131902636
CSF1,0.5969090222477855
SIGLEC10,0.5945492235250179
BTN3A1,0.5938973823347984
CD4,0.5934832610216809
FCGR1A,0.5920068886023827
IFI16,0.5892325344819455
IL12RB1,0.5886273870585645
CD28,0.5882957268231758
OAS2,0.5869576535878233
ITGAX,0.5862769648752686
CCL18,0.5851945764031816
CD3E,0.5839124429743249
NLRP3,0.5837365836471563
CD3D,0.5830687907686379
P2RX7,0.5830578322917296
CD48,0.5821419524633754
EOMES,0.582129007093262
CXCL13,0.5815847673398576
CCL3,0.5760001279872564
IL7R,0.5755796998605042
CD38,0.5748738383085884
GZMK,0.5695284289071131
HIF1A,0.569287185638501
ITGA4,0.5689733822365223
PRDM1,0.5674013751754614
GIMAP7,0.5666520743500659
XAF1,0.5661479992773927
IL18R1,0.5612613273663845
ZEB2,0.5562100654838429
SH2B3,0.555994515276604
PRF1,0.5514244072693923
ZNF683,0.5474732056690644
PDCD1,0.5453461331846993
CSF1R,0.5409532988520944
CCR2,0.5406571884320467
CTSW,0.5397681283119559
CXCL11,0.5361927705071104
IL10,0.5316614525786119
OAS3,0.528683459773255
IRF4,0.5194182434502098
LIMS1,0.5172911859522293
SPN,0.5140311990209302
LTA,0.5134382491291475
IL1R1,0.5112035596348656
SPI1,0.5096508056982669
CCR4,0.5084197354833093
IFI44L,0.5009723493413424
