cyt,Pearson_r
CD274,0.9999999999999998
JAK2,0.7270591526719138
CXCL9,0.6417257039388684
CXCL10,0.6320418676075757
CXCL11,0.6167472366591793
STAT1,0.6032952926059352
IL12RB1,0.5870159051745483
CSF1,0.5866322310223812
IDO1,0.5801922778228927
IFNG,0.57964368915604
FASLG,0.5763874558412032
CCL4,0.5753918214016689
CD226,0.5678355677495431
PTPRC,0.5673434766763343
CXCR6,0.564947853808502
IL2RB,0.5622411425069601
CCR5,0.5577136205888149
PRF1,0.5570075807198481
CD8A,0.5562911151244996
WARS1,0.555456152706868
GZMB,0.553606904356378
ICOS,0.5508618356430467
IRF1,0.5494754788876409
SIGLEC10,0.5433431450269958
TIGIT,0.5417012778154447
IL2RA,0.5404050322737254
HAVCR2,0.5306690650672421
CIITA,0.5252500803509875
BTN3A1,0.5204037419482284
OAS3,0.5188395044417173
KLRD1,0.5186247580935308
IFIT3,0.515767603255923
PDCD1,0.5146552296885087
CD69,0.5117931225132752
NKG7,0.5113433062186613
LAG3,0.511298761776573
IL10RA,0.5102461369112838
ITGAL,0.5101957679677709
SPN,0.5093321882917768
TBX21,0.5060224531237388
HLA-DRA,0.5010066519213655
CXCR3,0.5009394701926072
