cyt,Pearson_r
CD274,0.9999999999999998
IL2RA,0.6508145046356597
HAVCR2,0.6479025230019619
TNFRSF9,0.6347038036523408
CCL4,0.6313364199736639
STAT1,0.6247162103554343
CD86,0.6235004693321055
CD163,0.6232990191517783
IL12RB1,0.6186920869765359
CXCL10,0.6149099240084509
SIGLEC10,0.6122099342170367
CCR5,0.6109529939898872
IL21R,0.6020897958492533
JAK2,0.601843076838625
WARS1,0.601785371854494
IRF1,0.5999628944685385
PTPRC,0.5993511654382037
ICOS,0.5824305582960391
P2RX7,0.5823849452320534
CSF1R,0.5820685599070963
CD226,0.5759121840184338
IL2RB,0.5753878508185619
FAS,0.5749420343154469
FCGR1A,0.568591618583226
TAGAP,0.565674998866564
IL10RA,0.5611175864044436
TBX21,0.5598889451012083
CMKLR1,0.5552676951515217
AIF1,0.5546574950053597
TIGIT,0.5518161382902091
SIRPA,0.5511739894730301
ITGAM,0.5505155823926146
NLRP3,0.5498474737472987
CXCL9,0.5483218801032583
CXCL11,0.5455206100767639
SH2B3,0.5435818435985208
IFNG,0.5411353994465156
SPI1,0.5330270020492789
CD4,0.5251998866230569
CD68,0.5242677305904883
CTLA4,0.5218806126823294
IKZF1,0.5218757808020911
ITGB7,0.5194635366807471
CCL3,0.5188334670421215
CXCR6,0.5171921073001486
IFI16,0.5164247971494168
IFIT3,0.5160031143298881
PDCD1,0.5159825510816579
GZMB,0.5150988667018342
KLRD1,0.5150752185878876
FASLG,0.5140660628740598
CD8A,0.513322917602587
ITGAL,0.5108679606718094
BTN3A1,0.5099685604828379
IL7R,0.5096305062043229
SELPLG,0.5075365343812103
IL10,0.5062174994100771
SLAMF7,0.5034330215535762
