SAMPLE_ID,cyt,zsc
TCGA-25-1634-01,ADAM8,-0.8884
TCGA-09-0369-01,ADAM8,-2.556
TCGA-09-0364-01,ADAM8,-3.4582
TCGA-09-0367-01,ADAM8,-0.0695
TCGA-04-1364-01,ADAM8,-3.3407
TCGA-30-1861-01,ADAM8,-1.5579
TCGA-VG-A8LO-01,ADAM8,0.2665
TCGA-61-2092-01,ADAM8,-1.1933
TCGA-04-1519-01,ADAM8,-0.0722
TCGA-25-1632-01,ADAM8,-0.7716
TCGA-29-1702-01,ADAM8,-0.047
TCGA-OY-A56Q-01,ADAM8,-3.0335
TCGA-61-2088-01,ADAM8,-0.7188
TCGA-24-1430-01,ADAM8,-1.9851
TCGA-61-2098-01,ADAM8,-0.4901
TCGA-25-1871-01,ADAM8,-1.7929
TCGA-59-2363-01,ADAM8,0.0272
TCGA-25-1321-01,ADAM8,-0.2622
TCGA-24-0975-01,ADAM8,-0.9237
TCGA-04-1362-01,ADAM8,-0.7338
TCGA-61-2101-01,ADAM8,-0.9888
TCGA-13-0800-01,ADAM8,-3.1768
TCGA-36-1577-01,ADAM8,0.368
TCGA-24-1419-01,ADAM8,-0.2247
TCGA-61-2102-01,ADAM8,-3.4052
TCGA-57-1582-01,ADAM8,-0.1296
TCGA-24-1552-01,ADAM8,-0.1327
TCGA-09-1674-01,ADAM8,-1.096
TCGA-24-2024-01,ADAM8,0.8627
TCGA-29-1705-01,ADAM8,0.1345
TCGA-61-1728-01,ADAM8,0.0201
TCGA-10-0928-01,ADAM8,-2.0445
TCGA-24-1103-01,ADAM8,-1.9149
TCGA-25-1870-01,ADAM8,0.1554
TCGA-23-1109-01,ADAM8,0.1509
TCGA-30-1891-01,ADAM8,0.4131
TCGA-24-1544-01,ADAM8,0.3586
TCGA-61-2009-01,ADAM8,-0.041
TCGA-29-1770-01,ADAM8,-0.9801
TCGA-23-1114-01,ADAM8,-0.3983
TCGA-29-1691-01,ADAM8,-1.0689
TCGA-61-1914-01,ADAM8,-0.2853
TCGA-13-0924-01,ADAM8,-0.859
TCGA-59-A5PD-01,ADAM8,1.8994
TCGA-61-1900-01,ADAM8,-0.9952
TCGA-24-2254-01,ADAM8,0.6959
TCGA-30-1857-01,ADAM8,0.1687
TCGA-25-2397-01,ADAM8,-0.2601
TCGA-09-1659-01,ADAM8,0.3326
TCGA-24-1844-01,ADAM8,-1.8793
TCGA-13-0899-01,ADAM8,-0.0046
TCGA-24-1616-01,ADAM8,0.4319
TCGA-25-1627-01,ADAM8,0.2446
TCGA-13-0913-01,ADAM8,-1.9482
TCGA-30-1718-01,ADAM8,-0.6308
TCGA-3P-A9WA-01,ADAM8,-0.6719
TCGA-24-2038-01,ADAM8,-0.0976
TCGA-13-1405-01,ADAM8,-0.876
TCGA-24-1557-01,ADAM8,0.152
TCGA-13-0730-01,ADAM8,-0.3008
TCGA-13-1481-01,ADAM8,-0.0144
TCGA-61-1733-01,ADAM8,-1.9927
TCGA-20-1684-01,ADAM8,-0.3541
TCGA-29-1701-01,ADAM8,-0.278
TCGA-23-1027-01,ADAM8,0.8756
TCGA-61-2008-01,ADAM8,0.1423
TCGA-36-1571-01,ADAM8,-1.1387
TCGA-25-1630-01,ADAM8,1.884
TCGA-29-1696-01,ADAM8,-0.316
TCGA-29-1690-01,ADAM8,1.3985
TCGA-24-1843-01,ADAM8,1.0407
TCGA-23-2081-01,ADAM8,-1.2441
TCGA-24-1558-01,ADAM8,0.1982
TCGA-23-1111-01,ADAM8,-0.4638
TCGA-24-1555-01,ADAM8,-0.4133
TCGA-25-1635-01,ADAM8,0.2989
TCGA-29-1694-01,ADAM8,-0.197
TCGA-25-2393-01,ADAM8,0.4806
TCGA-24-1474-01,ADAM8,-0.9896
TCGA-25-1328-01,ADAM8,0.859
TCGA-25-2400-01,ADAM8,0.2104
TCGA-61-2110-01,ADAM8,0.0862
TCGA-25-1312-01,ADAM8,-0.1956
TCGA-24-1546-01,ADAM8,1.3409
TCGA-30-1855-01,ADAM8,0.6348
TCGA-61-1910-01,ADAM8,0.192
TCGA-09-1673-01,ADAM8,-0.6935
TCGA-24-2033-01,ADAM8,-0.0368
TCGA-24-1427-01,ADAM8,0.7014
TCGA-09-2054-01,ADAM8,-1.7487
TCGA-61-2109-01,ADAM8,1.0142
TCGA-29-A5NZ-01,ADAM8,-0.563
TCGA-25-1317-01,ADAM8,-0.6074
TCGA-13-1403-01,ADAM8,-0.519
TCGA-29-2425-01,ADAM8,-0.8089
TCGA-13-A5FT-01,ADAM8,-0.6418
TCGA-61-2097-01,ADAM8,0.8839
TCGA-20-1685-01,ADAM8,0.3795
TCGA-57-1584-01,ADAM8,-0.6546
TCGA-61-2016-01,ADAM8,0.3932
TCGA-10-0936-01,ADAM8,0.1613
TCGA-30-1862-01,ADAM8,0.0016
TCGA-24-1928-01,ADAM8,-0.5676
TCGA-25-1316-01,ADAM8,0.2611
TCGA-24-1425-01,ADAM8,0.0019
TCGA-25-1318-01,ADAM8,0.1834
TCGA-13-1512-01,ADAM8,-0.1144
TCGA-24-1418-01,ADAM8,-0.8874
TCGA-24-2027-01,ADAM8,0.2123
TCGA-13-0920-01,ADAM8,-2.4806
TCGA-24-2297-01,ADAM8,-1.7357
TCGA-5X-AA5U-01,ADAM8,-1.5765
TCGA-29-1783-01,ADAM8,1.3653
TCGA-24-2271-01,ADAM8,0.2095
TCGA-23-1023-01,ADAM8,-0.4654
TCGA-29-1693-01,ADAM8,-1.2256
TCGA-24-2035-01,ADAM8,-0.5188
TCGA-25-2391-01,ADAM8,0.5138
TCGA-23-1809-01,ADAM8,0.1211
TCGA-24-2020-01,ADAM8,0.7486
TCGA-04-1365-01,ADAM8,1.1239
TCGA-25-1315-01,ADAM8,-1.0986
TCGA-13-0890-01,ADAM8,0.4838
TCGA-20-1683-01,ADAM8,-0.9501
TCGA-61-2111-01,ADAM8,-0.0887
TCGA-24-1567-01,ADAM8,-0.9041
TCGA-24-1469-01,ADAM8,0.8124
TCGA-61-1721-01,ADAM8,-2.0662
TCGA-20-1682-01,ADAM8,-0.8846
TCGA-61-1998-01,ADAM8,1.0633
TCGA-29-1762-01,ADAM8,-1.0738
TCGA-13-1506-01,ADAM8,-0.3924
TCGA-59-2348-01,ADAM8,-0.6619
TCGA-24-1416-01,ADAM8,-0.8204
TCGA-57-1583-01,ADAM8,-0.585
TCGA-57-1585-01,ADAM8,0.4641
TCGA-61-2000-01,ADAM8,0.335
TCGA-24-1560-01,ADAM8,-1.0717
TCGA-13-1497-01,ADAM8,-0.8589
TCGA-25-1625-01,ADAM8,-0.7404
TCGA-25-1323-01,ADAM8,0.207
TCGA-36-1575-01,ADAM8,-0.7688
TCGA-25-1324-01,ADAM8,-1.7388
TCGA-09-0366-01,ADAM8,1.406
TCGA-23-2077-01,ADAM8,0.1784
TCGA-25-2409-01,ADAM8,0.2105
TCGA-61-1725-01,ADAM8,-1.1309
TCGA-29-1698-01,ADAM8,-0.9178
TCGA-25-1329-01,ADAM8,0.3946
TCGA-31-1944-01,ADAM8,2.1017
TCGA-24-1463-01,ADAM8,1.4227
TCGA-24-2019-01,ADAM8,-0.8145
TCGA-23-1026-01,ADAM8,0.4632
TCGA-61-2003-01,ADAM8,1.3899
TCGA-25-1326-01,ADAM8,0.9015
TCGA-31-1950-01,ADAM8,-0.4001
TCGA-09-1669-01,ADAM8,0.5173
TCGA-29-1761-01,ADAM8,-0.4103
TCGA-24-2289-01,ADAM8,0.5835
TCGA-61-1738-01,ADAM8,-1.0574
TCGA-36-1574-01,ADAM8,0.1935
TCGA-13-0897-01,ADAM8,-0.2566
TCGA-09-2044-01,ADAM8,0.7797
TCGA-24-1562-01,ADAM8,1.2481
TCGA-13-1505-01,ADAM8,-0.7348
TCGA-24-1467-01,ADAM8,-0.113
TCGA-29-1776-01,ADAM8,-0.5905
TCGA-09-1662-01,ADAM8,1.2576
TCGA-61-1917-01,ADAM8,0.8787
TCGA-24-1849-01,ADAM8,0.7577
TCGA-13-0801-01,ADAM8,2.5162
TCGA-25-1314-01,ADAM8,-1.1396
TCGA-25-2398-01,ADAM8,0.0255
TCGA-36-1569-01,ADAM8,0.372
TCGA-23-2078-01,ADAM8,-1.1138
TCGA-24-1564-01,ADAM8,1.8144
TCGA-29-1688-01,ADAM8,0.2176
TCGA-25-2392-01,ADAM8,0.3085
