cyt,Pearson_r
CD274,1.0
JAK2,0.7487957996070749
CD38,0.7030536965117481
LAG3,0.6805815592999997
ICOS,0.6691360127580495
STAT1,0.662088744005108
CCR5,0.6615082274664555
CXCL10,0.6590355813587189
ITGAL,0.6561583129180848
FASLG,0.6533937778094067
TBX21,0.653312260925539
XAF1,0.650745658773198
IL12RB1,0.6486229624356484
PRF1,0.648081726914103
SLAMF6,0.6478362662557827
CXCR6,0.6428883355175016
TAGAP,0.6410663392541059
CXCL11,0.6404301774170654
TIGIT,0.6403312352404946
CTLA4,0.6401007483095454
IL2RB,0.6319185009934457
OAS2,0.620338860359688
PTPRC,0.6179129402790695
CD2,0.6159493562787223
CCL5,0.6156290832026609
HLA-E,0.6154555071341606
IFIT3,0.6149887331319857
IRF1,0.6124768616621861
FOXP3,0.6122409078718899
IL2RG,0.6081229609572754
SLAMF7,0.6050883911597432
IL21R,0.60365290897559
CD86,0.601432218162183
LTA,0.5983934496111182
CXCR3,0.5978246846660238
CXCL9,0.5972961192291107
OASL,0.5958391829805333
IL10RA,0.5951433478148431
SH2D1A,0.5941204550572987
ITGAX,0.5904185120401696
CD3E,0.5893927174069117
CD226,0.5885905462640459
OAS3,0.5885681402739004
IFIT2,0.5828333668009371
ZNF683,0.5761942478699876
IFI35,0.5746294870021413
RSAD2,0.5744361280829694
IRF4,0.5728459989119244
CD8A,0.5722283582217035
LY9,0.5712520875151923
HAVCR2,0.5705622148740103
CD40LG,0.5690137367031737
GZMA,0.5677530758549619
IDO1,0.5663295913426185
STAT4,0.565277255815439
NKG7,0.5636196866224865
CD3D,0.5631786015736842
IL2RA,0.5623071802726585
GIMAP7,0.5618674727824216
GZMB,0.561755282610066
CD48,0.5605024073674549
IKZF1,0.5597499856257969
CD68,0.5594600958406213
WARS1,0.5589214859765808
IFNG,0.5540181067260667
CD163,0.5519044189612748
MX1,0.5496775061186125
P2RX7,0.5466176828090538
TRIM21,0.5437586433632278
OAS1,0.5414868559288754
CXCL13,0.5406257035517865
CCR2,0.5404341308314923
EOMES,0.5404134594191872
GZMH,0.5374660011535959
CD4,0.5347522991155169
IFI44L,0.5336081409598497
ITGA4,0.5328853874134694
PDCD1,0.5317469298549505
CTSW,0.5303672843219271
SIGLEC10,0.5276847624584996
ITGAM,0.5260803010795145
CCR7,0.5228328129220389
CIITA,0.5194798248470729
SELL,0.5184829630939854
CD27,0.518265600823127
CD7,0.5168141988002535
KLRD1,0.5124662443017218
CCR4,0.5122624756126525
LYZ,0.5108146752049222
FCGR1A,0.5071503733276266
GNLY,0.5058300033011534
BTN3A1,0.5042558721385915
SELPLG,0.5034186441543995
