SAMPLE_ID,cyt,zsc
TCGA-HV-A7OP-01,ADAM8,0.0626
TCGA-2L-AAQL-01,ADAM8,1.0015
TCGA-2J-AABV-01,ADAM8,-0.9099
TCGA-HV-AA8X-01,ADAM8,1.0074
TCGA-FB-AAQ0-01,ADAM8,0.4248
TCGA-3A-A9J0-01,ADAM8,0.7805
TCGA-FB-AAQ1-01,ADAM8,0.1433
TCGA-HZ-A8P1-01,ADAM8,-0.368
TCGA-3A-A9I5-01,ADAM8,0.145
TCGA-US-A779-01,ADAM8,0.583
TCGA-FB-AAQ6-01,ADAM8,0.1847
TCGA-HZ-A8P0-01,ADAM8,-0.0267
TCGA-3A-A9IJ-01,ADAM8,-2.3957
TCGA-3A-A9IR-01,ADAM8,-0.9215
TCGA-LB-A8F3-01,ADAM8,0.53
TCGA-LB-A7SX-01,ADAM8,-0.021
TCGA-3E-AAAZ-01,ADAM8,-0.742
TCGA-2L-AAQM-01,ADAM8,-2.6409
TCGA-FB-AAPQ-01,ADAM8,1.284
TCGA-US-A77G-01,ADAM8,0.9763
TCGA-2J-AABO-01,ADAM8,-0.2038
TCGA-FB-AAQ3-01,ADAM8,0.2099
TCGA-HV-A5A6-01,ADAM8,0.7937
TCGA-2L-AAQE-01,ADAM8,-0.1494
TCGA-FB-AAPU-01,ADAM8,0.1215
TCGA-3A-A9IN-01,ADAM8,-3.1111
TCGA-2L-AAQJ-01,ADAM8,0.2704
TCGA-HZ-8001-01,ADAM8,-0.6603
TCGA-RL-AAAS-01,ADAM8,-0.5829
TCGA-HZ-A9TJ-01,ADAM8,0.4236
TCGA-2J-AABA-01,ADAM8,-0.3003
TCGA-HZ-A77P-01,ADAM8,-0.0161
TCGA-IB-7889-01,ADAM8,-0.3539
TCGA-FB-A5VM-01,ADAM8,0.7437
TCGA-3A-A9I9-01,ADAM8,0.8985
TCGA-OE-A75W-01,ADAM8,1.1615
TCGA-Q3-AA2A-01,ADAM8,0.8012
TCGA-IB-7887-01,ADAM8,0.1214
TCGA-FB-AAPS-01,ADAM8,0.4917
TCGA-HV-A5A3-01,ADAM8,1.893
TCGA-2J-AABH-01,ADAM8,0.9849
TCGA-HZ-7289-01,ADAM8,-2.9717
TCGA-3A-A9IS-01,ADAM8,-4.3247
TCGA-IB-A7M4-01,ADAM8,0.1678
TCGA-FB-A78T-01,ADAM8,0.4431
TCGA-3A-A9IV-01,ADAM8,-3.3089
TCGA-3A-A9IO-01,ADAM8,-1.8691
TCGA-FB-AAPZ-01,ADAM8,0.3291
TCGA-IB-A5ST-01,ADAM8,0.358
TCGA-H6-A45N-01,ADAM8,0.1718
TCGA-2L-AAQA-01,ADAM8,0.8614
TCGA-2J-AABT-01,ADAM8,-0.3455
TCGA-US-A77E-01,ADAM8,0.5539
TCGA-F2-6880-01,ADAM8,-2.7996
TCGA-2J-AABE-01,ADAM8,0.3165
TCGA-FB-AAPP-01,ADAM8,-2.2194
TCGA-M8-A5N4-01,ADAM8,1.0042
TCGA-RB-A7B8-01,ADAM8,0.4276
TCGA-3A-A9IC-01,ADAM8,0.865
TCGA-3A-A9IZ-01,ADAM8,0.4474
TCGA-H8-A6C1-01,ADAM8,0.7137
TCGA-IB-AAUV-01,ADAM8,-0.9027
TCGA-YY-A8LH-01,ADAM8,1.2479
TCGA-FB-A545-01,ADAM8,-0.1096
TCGA-2J-AAB8-01,ADAM8,0.2757
TCGA-2J-AABI-01,ADAM8,1.2379
TCGA-F2-A44G-01,ADAM8,0.958
TCGA-F2-A8YN-01,ADAM8,0.9466
TCGA-3A-A9IU-01,ADAM8,1.4283
TCGA-US-A77J-01,ADAM8,-0.4444
TCGA-3A-A9IL-01,ADAM8,-2.1094
TCGA-FB-AAPY-01,ADAM8,1.0793
TCGA-XD-AAUG-01,ADAM8,-1.2754
TCGA-FB-A4P5-01,ADAM8,0.5299
TCGA-XD-AAUI-01,ADAM8,0.3684
TCGA-IB-A5SQ-01,ADAM8,0.686
TCGA-IB-A6UG-01,ADAM8,-0.3012
TCGA-FB-AAQ2-01,ADAM8,-0.1691
TCGA-HZ-8317-01,ADAM8,-0.2987
TCGA-XD-AAUL-01,ADAM8,1.1326
TCGA-S4-A8RM-01,ADAM8,0.6079
TCGA-XD-AAUH-01,ADAM8,-0.3594
TCGA-2J-AABK-01,ADAM8,-0.6741
TCGA-IB-7644-01,ADAM8,0.1336
TCGA-LB-A9Q5-01,ADAM8,0.3489
TCGA-S4-A8RP-01,ADAM8,0.3356
TCGA-3A-A9I7-01,ADAM8,-0.1279
TCGA-IB-A5SP-01,ADAM8,1.2424
TCGA-US-A776-01,ADAM8,-0.3393
TCGA-S4-A8RO-01,ADAM8,-0.0451
TCGA-RB-AA9M-01,ADAM8,-0.1541
TCGA-2J-AAB9-01,ADAM8,-0.8631
TCGA-3E-AAAY-01,ADAM8,0.4533
TCGA-HZ-A49H-01,ADAM8,-0.1285
TCGA-IB-AAUU-01,ADAM8,1.4691
TCGA-HV-A5A4-01,ADAM8,0.6007
TCGA-HZ-7925-01,ADAM8,-0.2991
TCGA-F2-6879-01,ADAM8,0.7511
TCGA-3A-A9IH-01,ADAM8,1.2229
TCGA-IB-AAUW-01,ADAM8,-1.0227
TCGA-HZ-7922-01,ADAM8,-0.5251
TCGA-XN-A8T5-01,ADAM8,0.0231
TCGA-IB-7885-01,ADAM8,0.8135
TCGA-IB-AAUM-01,ADAM8,-0.5704
TCGA-2J-AABU-01,ADAM8,0.7429
TCGA-PZ-A5RE-01,ADAM8,1.5124
TCGA-HV-A5A5-01,ADAM8,0.008
TCGA-IB-7890-01,ADAM8,0.1958
TCGA-HV-A7OL-01,ADAM8,1.7492
TCGA-HZ-A49G-01,ADAM8,0.5426
TCGA-IB-AAUP-01,ADAM8,0.1439
TCGA-IB-A6UF-01,ADAM8,0.9326
TCGA-YH-A8SY-01,ADAM8,1.1325
TCGA-3A-A9IX-01,ADAM8,-0.6163
TCGA-2J-AAB1-01,ADAM8,0.523
TCGA-2J-AAB4-01,ADAM8,0.5652
TCGA-HV-AA8V-01,ADAM8,0.0744
TCGA-2L-AAQI-01,ADAM8,-0.3159
TCGA-IB-A5SO-01,ADAM8,0.4486
TCGA-IB-7647-01,ADAM8,0.1318
TCGA-Q3-A5QY-01,ADAM8,0.1628
TCGA-FB-A4P6-01,ADAM8,-0.4475
TCGA-US-A774-01,ADAM8,-0.1553
TCGA-L1-A7W4-01,ADAM8,1.3282
TCGA-2J-AABR-01,ADAM8,-0.4936
TCGA-F2-A44H-01,ADAM8,0.434
TCGA-IB-AAUT-01,ADAM8,0.0485
TCGA-HZ-A77O-01,ADAM8,-1.3436
TCGA-HZ-7924-01,ADAM8,-1.2706
TCGA-IB-AAUS-01,ADAM8,0.9963
TCGA-F2-7276-01,ADAM8,-1.0352
TCGA-HZ-A49I-01,ADAM8,1.3443
TCGA-2J-AABF-01,ADAM8,0.4114
TCGA-IB-AAUO-01,ADAM8,0.5754
TCGA-IB-AAUQ-01,ADAM8,-0.1078
TCGA-XN-A8T3-01,ADAM8,-0.3465
TCGA-IB-AAUN-01,ADAM8,0.0819
TCGA-HZ-8519-01,ADAM8,-0.6068
TCGA-IB-7888-01,ADAM8,-0.8912
TCGA-YB-A89D-01,ADAM8,0.6199
TCGA-HZ-A4BK-01,ADAM8,0.2754
TCGA-IB-AAUR-01,ADAM8,0.3533
TCGA-F2-7273-01,ADAM8,-0.7814
TCGA-HZ-A77Q-01,ADAM8,0.0136
TCGA-Z5-AAPL-01,ADAM8,0.4051
TCGA-IB-8126-01,ADAM8,-1.2026
TCGA-IB-7649-01,ADAM8,-1.3564
TCGA-IB-7652-01,ADAM8,0.3018
TCGA-HZ-A4BH-01,ADAM8,0.9693
TCGA-3A-A9IB-01,ADAM8,0.4726
TCGA-HZ-7920-01,ADAM8,-2.0201
TCGA-IB-7645-01,ADAM8,0.0901
