cyt,Pearson_r
CD274,1.0
LIMS1,0.6863630182289642
IL7R,0.6411264759528332
HIF1A,0.6320655347300694
STAT1,0.629128812427934
ITGA4,0.627351831747456
IL6ST,0.6128731086487034
CD226,0.6122567497890582
P2RX7,0.6079409123862366
SH2B3,0.6067848222308473
PTPRC,0.6000751101858172
ZEB2,0.5917306275729813
IL2RA,0.5862268707909704
ITGA1,0.585570058166266
PRDM1,0.5792115365294198
CD163,0.5677496145985321
IL2RB,0.567340522966544
JAK2,0.5660212271116635
CD4,0.5555494012862856
CD86,0.5515991985763339
CXCL9,0.5465406528093822
CD38,0.5462140337271763
BCL2L11,0.5450670007352931
TCF12,0.5406571235838334
TAGAP,0.5397312043218814
NLRP3,0.5362478915530786
IDO1,0.5283860098255639
CCR4,0.5233014942192281
CSF1,0.523248852355077
CCR5,0.5226326976015346
CXCL10,0.5210145633766985
ICOS,0.5206637609962179
RORA,0.51842832196341
IFIT2,0.5165852817953727
TNFRSF9,0.5090037851153242
IL1R1,0.5026069483989802
TIGIT,0.501215951640387
