cyt,Pearson_r
CD274,0.9999999999999998
PTPRC,0.6962478978610322
JAK2,0.657287543504421
CD226,0.6535801931101831
ITGA4,0.6437039716324652
CIITA,0.6401911616474837
IL7R,0.6382857877977438
TAGAP,0.6333916381830624
SPN,0.6311130579670007
IL2RB,0.6137031668666209
P2RX7,0.6111067650378877
CCR5,0.6054164595677343
ITGAL,0.5978774463800968
CD4,0.5964726165467718
CD69,0.594091043266666
IL10RA,0.592731879617402
CSF1,0.591799866981451
HLA-E,0.5912397027788363
CCR4,0.5877549539963034
SLAMF7,0.5852809147629723
STAT1,0.5843980874147728
ITGAM,0.580628275673415
BTN3A1,0.5804160753825502
IFI16,0.5799740142586499
IRF4,0.5747990053733074
IL2RA,0.5608736833966949
CCR2,0.559523334118829
SH2B3,0.5594814636648059
IL21R,0.5587465598841455
NLRP3,0.558024554174592
CSF1R,0.557976064105964
ZEB2,0.5562038142471002
IL12RB1,0.5539968194534065
IL6ST,0.5539578376539246
PRDM1,0.5522181387345282
IFIT3,0.5516818192928196
TNFRSF1B,0.5513461623633997
CXCR6,0.5500107635095208
CD86,0.5481350368469886
ICOS,0.545423514653947
IFIT2,0.5447021665439955
SELL,0.543499482190589
HLA-DRA,0.5431913234633495
TNFRSF9,0.5431679403180701
CD163,0.541042802050066
LY9,0.539505700698956
SLAMF6,0.5391792395522577
KLRD1,0.5320828101318967
CD40LG,0.5307137764111911
CD48,0.5301328228927177
CD8A,0.5285165308175599
SELPLG,0.5274595011966076
SIGLEC10,0.5251277494285851
RORA,0.5243802490772125
PRF1,0.5241844527456604
IL10,0.5227463242031964
AHR,0.5175334965262226
IL6R,0.5152061171512542
TIGIT,0.5144274547621551
CD68,0.5112236980203109
CCR6,0.5106597614761521
IFI44L,0.5081137352314439
CCR7,0.5037044937356884
RSAD2,0.5033220899904473
HAVCR2,0.5021810942048694
STAT4,0.5014213632230008
XAF1,0.5012330159191886
CXCR4,0.5011792997888235
