cyt,Pearson_r
CD274,1.0
STAT1,0.6299039168759816
CIITA,0.5993473538418288
CCR5,0.5639819696834605
CD226,0.5620461265908406
EOMES,0.5611178346115124
ICOS,0.544628514509926
IL7R,0.5438185183666306
TIGIT,0.536970957080194
SPN,0.5323850405564843
CXCL9,0.5293028426171839
MIR155HG,0.5254946781659918
CXCR6,0.5236480216679009
PTPRC,0.5216080150126052
P2RX7,0.5113412112152464
IFNG,0.5103456555614747
HLA-DRA,0.5090287067009653
CCR4,0.5088003264019073
HLA-DQA1,0.5083562558843268
JAK2,0.507421177380826
ITGAL,0.5058290830918836
CXCL10,0.5036177709398282
FASLG,0.5025794803669441
IRF1,0.5003439274974263
