cyt,Pearson_r
CD274,1.0
WARS1,0.7191081320880169
IDO1,0.7007838929517008
PRF1,0.6778239937933997
IFNG,0.6620977978433189
IL2RB,0.649486989137489
IL2RA,0.6396039148735571
IRF1,0.6367001334712399
GZMB,0.6293343455878511
STAT1,0.6287087146267689
CXCL10,0.6199591068020334
JAK2,0.6135736082416502
CXCL9,0.6082498733665653
CCL4,0.6011115168349992
HAVCR2,0.5973992230466884
CD226,0.5969932180157044
LAG3,0.5960426159419787
SLAMF7,0.5946001492031198
FASLG,0.5921264239478331
GZMA,0.5897236564725704
IL21R,0.5872427326937875
CXCR6,0.5846428261846145
ICOS,0.5832451906311907
ITGAE,0.5773772514685691
IL12RB1,0.5743940998439515
CXCL11,0.5709714971828632
KLRD1,0.5680011672208127
TBX21,0.5673491172126365
CD86,0.5643559898211902
CCR5,0.5607573600687132
TIGIT,0.5555328911542629
TNFRSF9,0.5452619775430825
SIGLEC10,0.5443619649676611
CTLA4,0.5438732533231782
CD8A,0.5419156913179279
CD38,0.5409983637869865
PDCD1,0.5394835001127385
ITGB7,0.5379888166748561
GNLY,0.5367192150381649
NKG7,0.5344122824377724
BTN3A1,0.5334847123152197
CCL5,0.5304759252970771
CD163,0.5302964458093744
GZMH,0.5288498486682547
IFIT3,0.5262092163602108
ZNF683,0.5247295562539115
HLA-E,0.5223829618864397
TAGAP,0.5206636533498176
PTPRC,0.5184863984551811
ITGAL,0.5148957384113856
FCGR1A,0.5144462648957047
CD2,0.5073415676680062
CIITA,0.504682649674194
CCL3,0.5032223939659254
