cyt,Pearson_r
CD274,1.0
CSF1,0.689108655215105
HIF1A,0.6889018627506955
P2RX7,0.6876080568443512
STAT1,0.6728914078319674
STAT3,0.6723232357447504
IL7R,0.6694719219824588
CIITA,0.6542732915056351
PTPRC,0.6456141595662698
CCR4,0.6248122777512398
BTN3A1,0.6166364831493047
IL4R,0.6133780019215002
IL6R,0.6059395558318944
IFIT2,0.6027350917790383
HLA-DRA,0.6022691131135863
TNFRSF9,0.5973146433267823
JAK2,0.5942446973621827
FAS,0.5921061003583505
SPN,0.5880602815066938
IL6ST,0.5879598950456898
ITGAM,0.587801177526147
HLA-E,0.5871356277068411
IL2RA,0.5796589297964683
TAGAP,0.5761839316208154
CCR5,0.5698595512952837
CCR2,0.5689134542865925
BHLHE40,0.5644208781024219
OAS3,0.5611116708908443
LIMS1,0.5587912081736144
HLA-DQA1,0.5554343699038004
IFIT3,0.5549333172189089
RSAD2,0.551640884597533
CD163,0.5475374402811585
LYZ,0.5448648548288043
TIGIT,0.5445632351771856
ICOS,0.5433274176234847
CD69,0.5423956664369598
CD226,0.5354854172072446
WARS1,0.5313436033149711
IKZF1,0.5281602589037055
CD28,0.5251685455477593
IL2RB,0.5237971777043334
ITGA4,0.522743686327093
ATM,0.5196465787412211
NLRP3,0.5189809114357937
CD86,0.5156904962855038
AHR,0.5150898174435693
HLA-DRB1,0.5128338444362542
IRF8,0.5123617370465494
TCF12,0.5065498505838053
HAVCR2,0.5041795333891089
CD68,0.5039896167095719
CTLA4,0.5007046182022649
